,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,44,0,73,100,58,31,84,78,100,87,0,36,99,76,43,77,0,0,0,61,90,66,44,60,99,100,27,80,34,31,27,94,35,0,86,53,28,100,83,100,100,91,98,0,100,85,97,100,84,0
2005-01-01,55,0,95,43,43,100,95,0,72,88,32,24,84,100,100,45,100,92,33,56,83,78,57,100,74,30,53,23,21,57,48,92,100,100,72,100,100,59,25,26,31,29,100,56,30,39,73,0,67,100
2006-01-01,100,45,73,63,42,50,73,67,57,82,59,15,70,46,30,10,89,41,86,77,47,100,74,11,80,38,23,41,28,43,100,63,79,22,54,21,53,69,49,73,19,44,85,36,66,56,30,48,99,46
2007-01-01,48,43,55,25,62,54,56,82,68,48,81,47,100,83,28,36,37,100,31,69,70,68,71,30,82,91,49,35,11,44,14,80,63,57,54,66,71,58,74,26,72,44,69,47,22,53,40,20,100,31
2008-01-01,58,17,91,69,64,66,50,94,78,67,80,87,84,45,40,73,56,73,25,61,72,65,96,39,59,21,97,41,27,61,36,72,88,66,55,59,62,64,61,55,36,57,90,87,72,80,37,88,90,60
2009-01-01,74,14,81,60,85,92,70,20,85,81,73,78,75,63,87,59,65,95,86,80,64,92,88,43,100,21,100,79,100,100,74,86,81,49,56,49,88,68,100,87,69,84,83,100,51,100,54,52,86,11
2010-01-01,85,25,64,31,100,63,75,56,86,91,81,50,89,82,70,100,78,88,59,100,74,89,78,49,75,61,58,100,42,57,28,77,79,80,100,53,56,69,57,93,32,88,89,92,40,82,94,0,87,29
2011-01-01,69,28,76,50,54,94,60,57,76,73,75,35,69,54,65,67,66,86,45,66,82,81,62,51,71,36,66,44,52,80,46,68,65,41,61,40,70,62,45,46,24,70,77,63,53,41,58,68,76,7
2012-01-01,72,22,70,51,55,66,71,36,77,66,100,70,71,69,78,66,75,62,89,77,70,61,71,43,64,33,61,70,42,66,40,70,72,37,60,64,49,62,42,65,37,76,77,100,58,42,54,41,80,28
2013-01-01,66,23,83,39,52,64,63,100,89,74,92,49,77,88,52,65,75,60,64,70,68,76,70,55,55,34,76,64,62,65,53,72,79,52,70,36,67,71,56,58,68,82,89,76,24,52,67,64,68,27
2014-01-01,86,39,87,76,59,60,76,59,89,70,77,33,82,56,67,55,63,59,83,68,79,85,81,45,63,54,68,89,47,73,53,81,74,26,77,49,41,67,18,64,47,76,91,92,28,49,50,44,86,17
2015-01-01,78,41,100,54,63,87,82,69,95,81,93,70,85,65,60,80,85,74,100,76,100,88,93,38,70,57,57,90,50,80,49,89,77,40,74,50,57,66,82,45,52,100,96,86,66,51,67,57,91,26
2016-01-01,74,36,93,41,62,74,96,76,86,100,78,38,87,62,60,68,86,55,79,73,94,87,84,44,62,43,55,63,57,76,44,93,66,41,65,54,71,66,59,67,40,59,86,73,40,48,60,61,83,37
2017-01-01,82,38,97,47,61,81,100,73,90,88,68,48,86,54,73,69,72,53,69,75,90,74,100,39,66,37,60,62,40,85,35,100,69,49,68,47,49,61,62,55,40,80,95,73,34,57,59,55,71,33
2018-01-01,25,100,49,0,55,42,47,57,50,42,51,100,80,40,52,23,73,63,53,34,79,54,11,14,29,37,46,21,71,79,0,77,40,0,51,48,58,39,0,76,77,93,88,68,0,24,100,0,66,0
