,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,78.0,64.0,83.0,75.0,77.0,94.0,79.0,76.0,85.0,91.0,92.0,92.0,89.0
Alaska,60.0,43.0,88.0,46.0,77.0,57.0,69.0,64.0,58.0,70.0,62.0,71.0,82.0
Arizona,66.0,63.0,65.0,69.0,74.0,97.0,81.0,70.0,77.0,77.0,81.0,86.0,82.0
Arkansas,82.0,53.0,68.0,76.0,95.0,73.0,77.0,78.0,89.0,87.0,92.0,97.0,81.0
California,69.0,60.0,61.0,60.0,57.0,56.0,44.0,66.0,70.0,74.0,74.0,75.0,75.0
Colorado,74.0,59.0,63.0,64.0,71.0,81.0,76.0,62.0,73.0,75.0,70.0,75.0,66.0
Connecticut,81.0,64.0,74.0,70.0,84.0,82.0,78.0,75.0,88.0,96.0,86.0,99.0,85.0
Delaware,82.0,95.0,65.0,91.0,100.0,79.0,91.0,75.0,100.0,90.0,100.0,82.0,83.0
District of Columbia,92.0,67.0,78.0,75.0,69.0,80.0,71.0,65.0,69.0,77.0,75.0,78.0,72.0
Florida,71.0,73.0,76.0,73.0,76.0,85.0,75.0,73.0,81.0,81.0,79.0,91.0,78.0
Georgia,73.0,71.0,79.0,72.0,75.0,87.0,75.0,70.0,73.0,76.0,74.0,84.0,81.0
Hawaii,100.0,72.0,59.0,65.0,74.0,71.0,65.0,66.0,75.0,67.0,80.0,78.0,81.0
Idaho,83.0,48.0,65.0,58.0,69.0,73.0,75.0,65.0,68.0,74.0,69.0,77.0,71.0
Illinois,72.0,69.0,72.0,66.0,73.0,88.0,78.0,68.0,73.0,76.0,74.0,83.0,79.0
Indiana,84.0,54.0,80.0,77.0,77.0,98.0,83.0,79.0,86.0,84.0,95.0,90.0,83.0
Iowa,64.0,60.0,67.0,66.0,71.0,94.0,79.0,73.0,76.0,85.0,77.0,78.0,78.0
Kansas,71.0,53.0,67.0,64.0,78.0,73.0,75.0,67.0,76.0,70.0,66.0,74.0,82.0
Kentucky,92.0,58.0,72.0,63.0,84.0,87.0,68.0,66.0,78.0,90.0,83.0,93.0,86.0
Louisiana,68.0,66.0,81.0,78.0,64.0,96.0,66.0,72.0,77.0,85.0,81.0,87.0,87.0
Maine,73.0,100.0,100.0,71.0,70.0,72.0,70.0,80.0,84.0,94.0,88.0,96.0,76.0
Maryland,93.0,80.0,74.0,72.0,79.0,95.0,88.0,75.0,84.0,91.0,86.0,95.0,89.0
Massachusetts,73.0,66.0,75.0,69.0,76.0,83.0,74.0,71.0,75.0,83.0,80.0,79.0,81.0
Michigan,77.0,61.0,66.0,65.0,74.0,85.0,74.0,67.0,72.0,80.0,75.0,82.0,82.0
Minnesota,69.0,57.0,65.0,61.0,71.0,82.0,84.0,66.0,75.0,79.0,77.0,80.0,75.0
