,Year,LocationAbbr,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
0,1995,US,4.4,,,50
1,1995,AL,4.8,3.8,5.8,98
2,1995,AK,2.7,1.5,3.9,43
3,1995,AZ,4.8,3.4,6.2,81
4,1995,AR,5.2,4.1,6.3,98
5,1995,CA,5.6,4.2,7.0,177
6,1995,CO,3.5,2.5,4.5,97
7,1995,CT,4.3,3.2,5.4,77
8,1995,DE,4.3,3.4,5.2,97
9,1995,FL,5.3,4.5,6.1,194
10,1995,GA,3.7,2.9,4.5,93
11,1995,HI,3.2,2.3,4.1,78
12,1995,ID,3.6,2.9,4.3,98
13,1995,IL,5.4,4.5,6.3,156
14,1995,IN,5.0,4.1,5.9,127
15,1995,IA,5.4,4.6,6.2,195
16,1995,KS,4.8,3.8,5.8,101
17,1995,KY,3.5,2.8,4.2,108
18,1995,LA,6.2,4.9,7.5,108
19,1995,ME,3.5,2.5,4.5,48
20,1995,MD,4.0,3.5,4.5,240
21,1995,MA,3.8,2.8,4.8,67
22,1995,MI,5.3,4.4,6.2,139
23,1995,MN,3.1,2.5,3.7,134
24,1995,MS,6.4,5.1,7.7,112
25,1995,MO,4.1,3.1,5.1,78
26,1995,MT,2.8,1.9,3.7,41
27,1995,NE,4.4,3.5,5.3,101
28,1995,NV,4.8,3.6,6.0,88
29,1995,NH,4.5,3.4,5.6,72
30,1995,NJ,4.2,2.9,5.5,52
31,1995,NM,5.6,4.1,7.1,68
32,1995,NY,4.2,3.3,5.1,97
33,1995,NC,4.5,3.8,5.2,172
34,1995,ND,3.7,2.8,4.6,79
35,1995,OH,4.2,2.9,5.5,58
36,1995,OK,2.9,1.8,4.0,53
37,1995,OR,4.0,3.2,4.8,114
38,1995,PA,5.7,4.8,6.6,207
39,1995,RI,4.6,3.4,5.8,78
40,1995,SC,5.0,3.9,6.1,102
41,1995,SD,2.9,2.0,3.8,53
42,1995,TN,5.2,4.2,6.2,112
43,1995,TX,5.2,4.0,6.4,99
44,1995,UT,3.7,2.8,4.6,107
45,1995,VT,4.5,3.6,5.4,125
46,1995,VA,3.9,2.9,4.9,77
47,1995,WA,3.1,2.5,3.7,108
48,1995,WV,4.7,3.8,5.6,120
49,1995,WI,4.5,3.5,5.5,114
50,1995,WY,3.2,2.4,4.0,77
51,1996,US,4.5,,,52
52,1996,UW,4.5,,,51
53,1996,AL,7.3,6.0,8.6,154
54,1996,AK,3.5,2.0,5.0,46
55,1996,AZ,3.5,2.4,4.6,69
56,1996,AR,4.6,3.6,5.6,89
57,1996,CA,5.1,4.3,5.9,199
58,1996,CO,3.0,2.2,3.8,58
59,1996,CT,4.4,3.4,5.4,87
60,1996,DE,5.3,4.3,6.3,121
61,1996,DC,5.6,4.1,7.1,68
62,1996,FL,5.2,4.4,6.0,185
63,1996,GA,4.1,3.2,5.0,112
64,1996,HI,4.6,3.6,5.6,102
65,1996,ID,3.5,2.7,4.3,89
66,1996,IL,5.8,4.8,6.8,157
67,1996,IN,5.3,4.3,6.3,114
68,1996,IA,4.2,3.5,4.9,173
69,1996,KS,3.6,2.7,4.5,71
70,1996,KY,4.5,3.8,5.2,185
71,1996,LA,6.6,5.3,7.9,120
72,1996,ME,4.2,3.2,5.2,84
73,1996,MD,5.1,4.3,5.9,243
74,1996,MA,5.3,4.1,6.5,86
75,1996,MI,5.8,4.8,6.8,146
76,1996,MN,4.5,3.8,5.2,196
77,1996,MS,6.1,4.9,7.3,110
78,1996,MO,4.4,3.3,5.5,70
79,1996,MT,3.7,2.8,4.6,73
80,1996,NE,5.3,4.3,6.3,119
81,1996,NV,4.2,3.0,5.4,75
82,1996,NH,4.0,3.0,5.0,65
83,1996,NJ,4.6,3.8,5.4,136
84,1996,NM,4.4,3.0,5.8,53
85,1996,NY,3.6,3.0,4.2,144
86,1996,NC,4.4,3.6,5.2,151
87,1996,ND,3.1,2.3,3.9,61
88,1996,OH,5.0,3.9,6.1,87
89,1996,OK,3.8,2.8,4.8,85
90,1996,OR,4.5,3.7,5.3,132
91,1996,PA,5.7,4.9,6.5,214
92,1996,RI,4.5,3.5,5.5,85
93,1996,SC,5.4,4.2,6.6,108
94,1996,SD,4.3,3.4,5.2,101
95,1996,TN,5.0,4.2,5.8,165
96,1996,TX,3.7,2.7,4.7,70
97,1996,UT,3.3,2.5,4.1,113
98,1996,VT,3.9,3.1,4.7,107
99,1996,VA,5.5,4.4,6.6,111
100,1996,WA,3.4,2.8,4.0,125
101,1996,WV,5.9,4.9,6.9,140
102,1996,WI,4.7,3.4,6.0,106
103,1996,WY,4.2,3.4,5.0,105
104,1996,PR,10.8,9.2,12.4,217
105,1997,US,4.8,,,52
106,1997,UW,4.8,,,51
107,1997,AL,7.0,5.9,8.1,163
108,1997,AK,3.3,2.0,4.6,54
109,1997,AZ,3.1,2.0,4.2,61
110,1997,AR,5.1,4.0,6.2,93
111,1997,CA,5.6,4.8,6.4,214
112,1997,CO,3.9,2.8,5.0,72
113,1997,CT,5.1,4.0,6.2,106
114,1997,DE,6.4,5.3,7.5,186
115,1997,DC,4.6,3.3,5.9,69
116,1997,FL,5.7,4.9,6.5,207
117,1997,GA,4.1,3.2,5.0,96
118,1997,HI,5.0,3.9,6.1,113
119,1997,ID,4.0,3.4,4.6,205
120,1997,IL,7.0,5.8,8.2,181
121,1997,IN,5.2,4.2,6.2,125
122,1997,IA,4.6,3.9,5.3,181
123,1997,KS,3.0,2.2,3.8,67
124,1997,KY,5.3,4.5,6.1,219
125,1997,LA,5.5,4.3,6.7,92
126,1997,ME,4.9,3.8,6.0,80
127,1997,MD,5.9,5.0,6.8,262
128,1997,MA,4.7,3.5,5.9,73
129,1997,MI,5.8,4.8,6.8,157
130,1997,MN,3.9,3.3,4.5,201
131,1997,MS,6.1,4.8,7.4,108
132,1997,MO,4.8,3.7,5.9,98
133,1997,MT,3.1,2.3,3.9,65
134,1997,NE,4.2,3.4,5.0,135
135,1997,NV,4.0,2.3,5.7,110
136,1997,NH,3.9,2.8,5.0,64
137,1997,NJ,5.2,4.2,6.2,137
138,1997,NM,4.9,3.8,6.0,93
139,1997,NY,4.8,4.0,5.6,158
140,1997,NC,5.0,4.3,5.7,210
141,1997,ND,3.5,2.6,4.4,76
142,1997,OH,4.7,3.8,5.6,193
143,1997,OK,5.9,4.8,7.0,130
144,1997,OR,4.7,3.9,5.5,168
145,1997,PA,5.1,4.3,5.9,184
146,1997,RI,4.9,3.8,6.0,94
147,1997,SC,4.9,3.9,5.9,125
148,1997,SD,3.8,2.9,4.7,88
149,1997,TN,4.4,3.6,5.2,150
150,1997,TX,5.9,4.9,6.9,149
151,1997,UT,4.1,3.1,5.1,109
152,1997,VT,4.7,3.6,5.8,144
153,1997,VA,4.2,3.5,4.9,194
154,1997,WA,4.1,3.4,4.8,146
155,1997,WV,6.3,5.3,7.3,163
156,1997,WI,4.7,3.5,5.9,101
157,1997,WY,3.0,2.3,3.7,82
158,1997,PR,10.5,9.2,11.8,260
159,1998,US,5.4,,,52
160,1998,UW,5.4,,,51
161,1998,AL,7.0,5.9,8.1,182
162,1998,AK,3.0,2.0,4.0,75
163,1998,AZ,2.8,1.7,3.9,55
164,1998,AR,6.7,5.7,7.7,209
165,1998,CA,5.5,4.7,6.3,204
166,1998,CO,4.6,3.6,5.6,87
167,1998,CT,4.5,3.6,5.4,164
168,1998,DE,4.4,3.5,5.3,146
169,1998,DC,7.1,5.1,9.1,102
170,1998,FL,6.3,5.5,7.1,309
171,1998,GA,5.9,4.8,7.0,140
172,1998,HI,5.6,4.2,7.0,113
173,1998,ID,4.3,3.6,5.0,209
174,1998,IL,6.2,5.2,7.2,174
175,1998,IN,6.0,4.9,7.1,144
176,1998,IA,5.2,4.3,6.1,195
177,1998,KS,4.0,3.3,4.7,170
178,1998,KY,5.6,4.8,6.4,231
179,1998,LA,6.4,5.1,7.7,109
180,1998,ME,3.6,2.7,4.5,73
181,1998,MD,5.4,4.4,6.4,169
182,1998,MA,3.9,3.2,4.6,212
183,1998,MI,7.0,5.9,8.1,168
184,1998,MN,4.7,4.0,5.4,191
185,1998,MS,7.6,6.3,8.9,185
186,1998,MO,5.7,4.8,6.6,239
187,1998,MT,3.6,2.7,4.5,70
188,1998,NE,5.2,4.3,6.1,163
189,1998,NV,4.4,3.2,5.6,85
