,AZ,CA,FL,GA,IL,MI,NJ,NY,NC,OH,PA,TX,VA
2004-01-01,50,32,31,41,35,0,77,21,65,42,35,54,51
2005-01-01,30,26,34,48,33,28,82,27,35,62,57,35,56
2006-01-01,48,34,32,36,14,66,21,15,54,24,32,25,28
2007-01-01,25,33,35,46,37,59,57,13,27,23,57,22,41
2008-01-01,36,37,37,29,37,23,33,32,42,47,34,33,34
2009-01-01,23,51,40,49,59,34,57,34,27,51,40,38,27
2010-01-01,52,45,58,58,55,53,44,32,35,59,77,56,20
2011-01-01,62,60,71,41,58,42,73,26,49,52,60,47,44
2012-01-01,53,72,89,56,80,56,74,34,58,68,73,51,60
2013-01-01,56,76,72,61,71,77,67,39,78,86,75,62,47
2014-01-01,48,79,76,54,70,45,88,47,72,83,74,63,30
2015-01-01,78,86,91,77,88,78,100,58,78,100,100,64,39
2016-01-01,75,87,97,91,84,67,85,53,70,96,69,68,53
2017-01-01,81,100,100,100,84,68,77,67,84,80,89,78,69
2018-01-01,100,70,44,72,100,100,95,100,100,65,54,100,100
