,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,75.0,77.0,86.0,84.0,76.0,86.0,76.0,90.0,81.0,94.0,86.0,93.0,87.0
Alaska,71.0,71.0,71.0,82.0,72.0,64.0,69.0,79.0,74.0,85.0,80.0,90.0,88.0
Arizona,64.0,74.0,75.0,77.0,65.0,75.0,69.0,81.0,76.0,84.0,83.0,86.0,91.0
Arkansas,72.0,67.0,79.0,90.0,70.0,68.0,72.0,88.0,88.0,91.0,90.0,91.0,81.0
California,59.0,63.0,62.0,68.0,57.0,60.0,51.0,68.0,67.0,73.0,74.0,77.0,77.0
Colorado,56.0,60.0,58.0,65.0,61.0,63.0,60.0,67.0,65.0,71.0,70.0,74.0,74.0
Connecticut,65.0,73.0,78.0,79.0,66.0,72.0,70.0,74.0,70.0,81.0,81.0,86.0,87.0
Delaware,63.0,83.0,79.0,97.0,82.0,88.0,85.0,83.0,77.0,100.0,93.0,87.0,88.0
District of Columbia,71.0,72.0,69.0,64.0,63.0,73.0,67.0,68.0,77.0,78.0,75.0,75.0,72.0
Florida,64.0,67.0,68.0,73.0,64.0,71.0,63.0,73.0,71.0,79.0,76.0,80.0,78.0
Georgia,62.0,67.0,71.0,82.0,66.0,73.0,68.0,76.0,70.0,74.0,78.0,78.0,77.0
Hawaii,80.0,69.0,71.0,74.0,69.0,74.0,66.0,77.0,80.0,83.0,79.0,78.0,87.0
Idaho,96.0,70.0,72.0,77.0,70.0,77.0,87.0,81.0,81.0,86.0,95.0,89.0,84.0
Illinois,67.0,73.0,69.0,86.0,69.0,75.0,71.0,72.0,68.0,77.0,76.0,78.0,82.0
Indiana,91.0,81.0,85.0,100.0,89.0,87.0,86.0,90.0,90.0,95.0,96.0,95.0,89.0
Iowa,63.0,77.0,81.0,88.0,77.0,82.0,84.0,73.0,77.0,85.0,83.0,91.0,82.0
Kansas,62.0,67.0,73.0,81.0,59.0,68.0,72.0,81.0,75.0,80.0,72.0,74.0,80.0
Kentucky,74.0,78.0,80.0,85.0,71.0,81.0,80.0,85.0,85.0,95.0,87.0,88.0,91.0
Louisiana,70.0,76.0,81.0,82.0,68.0,81.0,69.0,83.0,79.0,80.0,77.0,79.0,83.0
Maine,79.0,74.0,81.0,90.0,66.0,79.0,66.0,78.0,83.0,89.0,90.0,97.0,95.0
Maryland,74.0,74.0,77.0,80.0,70.0,80.0,76.0,86.0,86.0,92.0,88.0,95.0,93.0
Massachusetts,76.0,73.0,72.0,77.0,70.0,71.0,67.0,77.0,75.0,79.0,79.0,85.0,84.0
Michigan,62.0,75.0,69.0,76.0,66.0,75.0,69.0,76.0,69.0,80.0,81.0,77.0,80.0
Minnesota,71.0,76.0,78.0,87.0,76.0,79.0,73.0,79.0,77.0,81.0,83.0,85.0,86.0
Mississippi,87.0,77.0,78.0,80.0,69.0,73.0,72.0,100.0,100.0,85.0,87.0,100.0,98.0
Missouri,71.0,78.0,81.0,87.0,76.0,80.0,77.0,79.0,76.0,85.0,88.0,85.0,89.0
Montana,80.0,73.0,85.0,83.0,62.0,64.0,67.0,84.0,80.0,91.0,81.0,91.0,89.0
Nebraska,100.0,81.0,76.0,88.0,77.0,89.0,75.0,82.0,78.0,90.0,77.0,91.0,87.0
Nevada,55.0,54.0,61.0,63.0,63.0,72.0,74.0,71.0,68.0,71.0,76.0,77.0,76.0
New Hampshire,72.0,60.0,69.0,75.0,70.0,72.0,74.0,81.0,81.0,84.0,78.0,87.0,80.0
New Jersey,72.0,68.0,69.0,72.0,64.0,69.0,66.0,79.0,77.0,80.0,83.0,80.0,82.0
New Mexico,77.0,100.0,100.0,97.0,81.0,100.0,100.0,96.0,86.0,93.0,94.0,88.0,91.0
New York,62.0,61.0,64.0,70.0,61.0,65.0,64.0,67.0,66.0,72.0,72.0,76.0,80.0
North Carolina,81.0,86.0,83.0,86.0,76.0,80.0,74.0,80.0,80.0,83.0,84.0,84.0,81.0
North Dakota,78.0,67.0,96.0,100.0,72.0,80.0,72.0,78.0,87.0,90.0,94.0,92.0,88.0
Ohio,70.0,75.0,73.0,80.0,68.0,73.0,72.0,83.0,80.0,87.0,89.0,86.0,87.0
Oklahoma,70.0,77.0,75.0,83.0,73.0,71.0,73.0,85.0,78.0,83.0,80.0,82.0,87.0
Oregon,64.0,60.0,68.0,73.0,61.0,67.0,70.0,74.0,76.0,64.0,59.0,67.0,80.0
Pennsylvania,73.0,74.0,80.0,87.0,72.0,77.0,75.0,81.0,81.0,88.0,81.0,83.0,86.0
Rhode Island,60.0,58.0,67.0,66.0,70.0,65.0,68.0,77.0,74.0,86.0,76.0,80.0,83.0
South Carolina,68.0,86.0,69.0,81.0,67.0,74.0,69.0,89.0,77.0,91.0,85.0,78.0,79.0
South Dakota,91.0,91.0,99.0,82.0,84.0,82.0,81.0,98.0,99.0,91.0,100.0,99.0,100.0
Tennessee,72.0,87.0,80.0,86.0,82.0,86.0,78.0,89.0,86.0,91.0,90.0,86.0,89.0
Texas,66.0,75.0,70.0,78.0,66.0,71.0,64.0,72.0,70.0,79.0,81.0,81.0,82.0
Utah,69.0,84.0,78.0,78.0,68.0,82.0,71.0,84.0,78.0,83.0,85.0,89.0,83.0
Vermont,59.0,88.0,67.0,79.0,60.0,74.0,49.0,82.0,83.0,74.0,78.0,82.0,68.0
Virginia,69.0,71.0,70.0,78.0,62.0,55.0,45.0,80.0,78.0,84.0,64.0,60.0,87.0
