,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,100,100,100,100,100,91,93,95,100,100,100,100,99,100,99,100,100,100,100,94,100,100,100,100,99,94,100,81,84,100,97,100,96,90,100,100,100,100,97,98,94,100,98,97,94,100,100,100,100,100
2005-01-01,88,89,97,98,98,100,100,85,98,99,85,81,100,93,99,91,97,97,88,100,96,100,99,96,100,100,82,100,100,100,97,98,100,100,98,100,88,97,92,100,92,99,100,100,100,95,99,100,96,95
2006-01-01,89,85,94,85,95,92,90,82,94,94,81,86,91,84,100,89,88,92,91,95,95,95,94,87,96,97,77,86,87,92,100,92,93,86,91,93,85,90,100,94,100,92,91,99,99,91,90,97,93,83
2007-01-01,90,85,86,87,88,88,92,100,93,91,76,86,90,85,88,92,78,85,85,90,88,89,93,84,84,91,76,75,89,88,90,89,84,81,88,94,84,90,88,82,95,91,89,88,85,88,92,88,84,90
2008-01-01,84,75,87,80,87,92,86,90,92,88,80,89,90,83,92,84,82,87,81,88,93,86,94,81,84,84,81,78,91,86,89,86,88,75,86,92,81,88,89,81,84,94,85,83,83,78,86,89,80,88
2009-01-01,86,71,88,79,84,91,88,95,94,91,77,89,89,84,95,89,83,89,80,91,90,91,91,83,86,84,79,89,91,88,90,89,85,74,88,86,83,88,87,83,84,91,88,92,85,70,87,90,89,79
2010-01-01,87,84,94,81,75,95,90,95,94,89,79,94,93,88,98,90,84,90,80,92,86,92,96,77,88,91,81,94,89,89,94,90,86,78,90,93,88,89,94,85,98,97,86,91,64,61,89,92,91,94
2011-01-01,80,75,89,81,84,81,83,82,88,78,77,87,79,75,81,82,73,84,79,84,81,81,81,85,78,87,69,77,90,90,79,77,77,71,84,89,79,82,88,81,86,85,77,83,81,85,80,82,82,73
2012-01-01,81,74,84,80,86,81,80,79,88,77,78,88,79,74,82,85,76,80,82,83,79,78,79,80,75,83,71,85,88,88,77,80,76,75,84,86,80,82,89,77,92,83,78,83,83,88,79,81,79,82
2013-01-01,80,73,83,78,87,81,83,86,85,78,75,86,78,73,81,80,76,78,81,82,81,83,80,74,75,92,71,80,88,86,75,83,76,70,83,80,61,82,87,77,85,80,79,83,76,85,81,77,80,80
2014-01-01,82,77,87,80,91,83,87,85,90,81,72,91,82,74,82,75,78,79,80,85,81,85,82,74,78,86,69,86,86,89,77,82,78,73,85,82,57,80,87,79,89,82,83,84,73,67,83,79,80,76
2015-01-01,84,78,94,78,93,90,91,85,93,84,76,86,82,77,84,77,79,82,85,88,86,85,88,85,83,89,72,89,91,89,76,87,79,69,86,80,70,83,92,76,90,82,86,92,81,64,87,80,83,74
2016-01-01,75,73,87,69,90,83,84,77,87,79,75,80,80,68,79,79,73,76,79,81,79,79,81,78,76,82,64,81,83,85,69,87,72,67,78,81,76,78,84,71,79,74,80,80,72,83,82,75,77,73
2017-01-01,75,80,88,75,95,86,87,78,89,83,78,84,82,71,81,84,73,77,79,84,80,83,84,79,79,85,68,83,84,84,71,96,73,67,79,82,78,77,85,73,81,78,83,79,74,84,86,74,79,79
2018-01-01,67,88,73,67,87,77,80,62,85,81,65,90,81,63,80,80,63,77,73,81,66,86,77,78,69,87,64,76,77,78,65,98,65,72,81,79,91,75,65,68,70,75,78,80,63,82,90,66,75,73
