,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,100,72,82,91,100,90,100,63,94,100,100,80,100,100,91,91,93,100,100,100,100,96,100,85,93,100,80,100,94,96,97,100,100,100,100,100,100,100,80,100,100,100,100,100,66,100,100,100,100,100
2005-01-01,87,89,87,96,99,100,72,56,96,88,97,84,93,97,69,85,100,65,65,98,97,100,90,100,100,74,100,78,100,100,84,97,88,79,96,77,85,90,95,91,64,95,94,85,100,87,93,79,86,65
2006-01-01,83,72,85,100,92,87,73,73,93,85,76,75,89,77,100,94,73,66,70,82,91,87,75,75,79,67,81,92,84,78,91,94,74,57,90,62,72,83,83,80,67,89,96,93,89,98,94,71,79,72
2007-01-01,80,68,78,93,87,80,64,73,91,85,83,88,81,76,83,94,72,67,59,88,89,85,84,81,74,77,78,72,85,77,85,86,86,60,84,78,80,84,83,72,66,89,85,89,73,89,80,95,78,73
2008-01-01,75,79,84,100,80,85,72,100,88,78,87,90,80,89,67,92,83,63,69,85,79,88,84,79,76,62,81,74,87,83,68,89,78,74,88,75,78,83,80,76,68,82,86,84,79,64,87,74,77,98
2009-01-01,74,86,87,93,74,77,69,71,99,78,78,98,89,88,80,83,79,71,64,92,88,90,84,70,76,70,72,81,83,73,100,90,79,82,94,64,73,86,79,73,60,84,92,91,80,52,90,83,89,85
2010-01-01,84,83,100,85,64,87,74,65,94,81,81,96,89,89,82,100,82,73,54,93,82,100,94,62,81,85,76,82,78,75,90,95,75,72,92,65,87,93,100,74,67,96,84,92,70,45,88,67,86,64
2011-01-01,66,75,82,83,80,73,65,58,89,71,72,94,76,72,69,87,75,69,68,73,78,82,75,72,63,61,72,69,77,68,72,74,69,63,82,69,73,77,93,68,63,81,71,80,74,79,80,73,70,63
2012-01-01,66,81,85,88,79,69,58,67,84,64,81,88,69,73,70,88,71,57,63,73,73,74,72,75,59,67,70,72,74,69,72,74,64,50,79,66,77,77,76,66,63,80,71,75,87,78,76,77,70,82
2013-01-01,69,67,81,84,80,73,61,62,83,68,79,90,70,69,66,78,72,63,61,69,72,76,73,62,62,65,68,71,73,66,73,74,66,63,79,63,52,77,86,70,51,74,74,75,76,76,76,69,65,81
2014-01-01,71,83,80,85,81,68,68,57,88,66,68,92,72,76,65,72,70,56,64,77,76,78,72,65,63,61,73,70,70,67,73,75,67,58,84,64,48,75,86,60,63,75,74,74,91,64,73,77,72,66
2015-01-01,75,100,93,92,86,82,72,69,100,75,75,94,77,77,69,83,73,62,70,83,78,82,80,75,74,64,72,82,80,72,73,82,71,58,88,65,59,81,84,65,59,87,78,78,84,63,80,65,77,74
2016-01-01,67,88,83,75,78,71,67,57,86,69,69,86,69,68,62,81,68,56,67,68,75,76,73,66,62,68,63,67,67,64,62,78,61,53,77,64,68,74,75,59,44,69,70,68,77,78,69,64,64,64
2017-01-01,72,97,90,87,86,84,69,67,93,76,78,88,76,75,66,85,72,58,66,75,80,80,78,75,68,77,70,71,77,68,69,89,68,53,81,70,75,76,86,66,53,77,77,82,79,84,76,73,70,73
2018-01-01,57,64,82,61,77,77,58,75,79,61,52,100,82,77,57,86,56,40,46,61,77,71,69,73,63,36,52,89,83,67,53,91,55,60,80,50,89,69,86,47,35,77,79,68,72,83,84,51,57,68
