,R^2,MSE,States
AK,-18.3106871081584,20.03349685477627,AK
AL,0.5016338952368204,1.115059550650339,AL
AR,0.4073391474404947,1.7692161159010735,AR
AZ,0.6746109142683607,0.40827291673605953,AZ
CA,0.8616462276915615,0.14791363365891738,CA
CO,0.5452784561734983,0.2777274984690335,CO
CT,-10.681369151466741,18.01770070994638,CT
DC,0.31162053801612255,0.16674080301387253,DC
DE,-2.866520305959378,5.744736246250063,DE
FL,-0.04869765173323093,1.305847055085317,FL
GA,-1.8755975703648726,3.0886713625578808,GA
HI,-4.8082671747834524,4.107735618610743,HI
IA,0.053570836256615406,1.0812953195768176,IA
ID,-4.722178504847333,3.4376782114884925,ID
IL,0.14484597164325586,0.6097723307754896,IL
IN,0.545435618889959,0.604160256254519,IN
KS,0.2879543249455525,0.8093585839785553,KS
KY,0.5543409924437355,0.8150608071529014,KY
LA,-0.875418709564121,2.276940645785385,LA
MA,-2.164500793744661,3.2146053896456173,MA
MD,-1.3991698185704684,2.5049665432088184,MD
ME,-25.574258493867163,30.875966587561894,ME
MI,-0.5932959342040882,1.245426321902862,MI
MN,0.1781208849195186,0.6923760795167583,MN
MO,-1.9285309143587592,6.1326284529505815,MO
MS,-0.9619920452226842,3.1615321817602187,MS
MT,0.22171497354847236,0.5631216451804493,MT
NC,0.1820451774212708,0.6981585225218865,NC
ND,0.31938818791602586,0.5136728592867102,ND
NE,-0.09863791999025939,0.5702998924949435,NE
NH,-50.0,50.0,NH
NJ,-2.334840776606662,1.3346310691377903,NJ
NM,0.08371388069088781,2.412632256925298,NM
NV,-0.7295911986809782,2.259999166276478,NV
NY,-0.1591935235369235,1.1714294551742575,NY
OH,0.9131266462207811,0.17815673683709113,OH
OK,-0.5012912768606776,1.2013457905045544,OK
OR,-0.9972273674070493,3.7063824263346223,OR
PA,-2.509936952797066,3.590860499208777,PA
RI,-22.428524418728436,30.828033380976837,RI
SC,0.40190211373485674,0.7420982592985634,SC
SD,-5.552470772159916,8.665187563488976,SD
TN,-15.00620528686067,20.127803148227294,TN
TX,-1.8667737854455355,3.574508563727401,TX
UT,-3.5833382794255852,1.6958351633874662,UT
VA,-0.18291524181287921,1.918951392274226,VA
VT,-6.601342925697607,5.363169730908866,VT
WA,0.507762607707586,0.4390142242507969,WA
WI,-50.0,50.0,WI
WV,-50.0,50.0,WV
WY,-0.3810591857494272,1.0138317119831382,WY
