,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,37.0,77.0,20.0,70.0,67.0,65.0,67.0,84.0,69.0,87.0,78.0,70.0,78.0
Alaska,31.0,47.0,51.0,32.0,58.0,18.0,75.0,50.0,51.0,78.0,65.0,44.0,77.0
Arizona,49.0,39.0,53.0,54.0,73.0,66.0,69.0,65.0,66.0,68.0,65.0,58.0,79.0
Arkansas,75.0,56.0,62.0,65.0,96.0,58.0,66.0,86.0,68.0,94.0,74.0,71.0,89.0
California,29.0,33.0,44.0,44.0,51.0,39.0,37.0,47.0,52.0,65.0,57.0,48.0,60.0
Colorado,41.0,54.0,42.0,59.0,87.0,65.0,73.0,63.0,62.0,61.0,60.0,50.0,65.0
Connecticut,37.0,68.0,46.0,61.0,88.0,44.0,69.0,73.0,54.0,74.0,68.0,59.0,65.0
Delaware,58.0,99.0,37.0,23.0,67.0,50.0,51.0,49.0,73.0,93.0,82.0,57.0,93.0
District of Columbia,52.0,41.0,31.0,49.0,60.0,51.0,54.0,37.0,42.0,56.0,44.0,40.0,50.0
Florida,33.0,46.0,56.0,50.0,64.0,60.0,66.0,60.0,61.0,67.0,67.0,56.0,75.0
Georgia,52.0,56.0,62.0,62.0,70.0,63.0,75.0,55.0,58.0,66.0,58.0,50.0,73.0
Hawaii,55.0,40.0,32.0,63.0,52.0,25.0,53.0,44.0,49.0,57.0,50.0,50.0,53.0
Idaho,50.0,75.0,31.0,57.0,64.0,47.0,71.0,60.0,53.0,61.0,56.0,43.0,66.0
Illinois,29.0,40.0,48.0,46.0,59.0,64.0,73.0,58.0,58.0,69.0,65.0,51.0,71.0
Indiana,39.0,37.0,80.0,65.0,84.0,63.0,76.0,67.0,67.0,82.0,74.0,74.0,75.0
Iowa,57.0,48.0,36.0,64.0,52.0,74.0,78.0,72.0,65.0,94.0,76.0,54.0,77.0
Kansas,77.0,94.0,68.0,59.0,100.0,62.0,100.0,66.0,65.0,63.0,63.0,46.0,75.0
Kentucky,28.0,65.0,70.0,63.0,80.0,64.0,66.0,74.0,85.0,92.0,78.0,68.0,96.0
Louisiana,43.0,61.0,65.0,72.0,92.0,62.0,59.0,63.0,61.0,65.0,65.0,54.0,68.0
Maine,18.0,22.0,12.0,61.0,58.0,57.0,73.0,62.0,65.0,71.0,72.0,63.0,63.0
Maryland,47.0,42.0,61.0,61.0,66.0,49.0,56.0,58.0,55.0,76.0,63.0,54.0,65.0
Massachusetts,32.0,37.0,54.0,53.0,70.0,48.0,53.0,58.0,57.0,61.0,60.0,51.0,70.0
Michigan,49.0,31.0,46.0,56.0,57.0,54.0,62.0,59.0,58.0,75.0,71.0,53.0,81.0
Minnesota,54.0,41.0,56.0,51.0,69.0,62.0,87.0,66.0,58.0,86.0,63.0,58.0,79.0
Mississippi,53.0,50.0,52.0,71.0,61.0,53.0,80.0,60.0,55.0,74.0,72.0,69.0,88.0
Missouri,46.0,55.0,67.0,66.0,96.0,72.0,71.0,69.0,64.0,82.0,62.0,57.0,89.0
Montana,80.0,14.0,35.0,36.0,89.0,61.0,81.0,59.0,67.0,68.0,78.0,40.0,85.0
