,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,29.0,27.0,92.0,82.0,99.0,98.0,85.0,54.0,78.0,86.0,84.0,92.0,76.0
Arizona,31.0,23.0,54.0,57.0,57.0,86.0,47.0,64.0,71.0,82.0,78.0,84.0,73.0
California,16.0,24.0,45.0,50.0,40.0,45.0,31.0,50.0,58.0,63.0,65.0,66.0,68.0
Colorado,10.0,25.0,35.0,49.0,53.0,64.0,49.0,49.0,61.0,69.0,64.0,76.0,63.0
Connecticut,15.0,40.0,75.0,54.0,52.0,56.0,55.0,55.0,56.0,70.0,68.0,78.0,77.0
Delaware,43.0,100.0,17.0,48.0,72.0,97.0,43.0,52.0,85.0,75.0,81.0,100.0,88.0
District of Columbia,21.0,32.0,45.0,64.0,42.0,58.0,51.0,45.0,45.0,54.0,60.0,54.0,53.0
Florida,15.0,29.0,41.0,59.0,51.0,55.0,52.0,54.0,59.0,64.0,65.0,68.0,67.0
Georgia,19.0,24.0,39.0,60.0,45.0,66.0,53.0,51.0,58.0,61.0,67.0,71.0,71.0
Idaho,41.0,66.0,32.0,31.0,70.0,84.0,57.0,70.0,74.0,75.0,95.0,80.0,85.0
Illinois,22.0,27.0,49.0,62.0,50.0,62.0,54.0,50.0,57.0,60.0,61.0,75.0,68.0
Indiana,35.0,54.0,65.0,56.0,95.0,84.0,79.0,74.0,84.0,95.0,100.0,100.0,87.0
Iowa,25.0,40.0,38.0,69.0,72.0,71.0,61.0,64.0,70.0,95.0,83.0,91.0,82.0
Kansas,18.0,18.0,47.0,71.0,40.0,69.0,52.0,63.0,63.0,71.0,75.0,63.0,74.0
Kentucky,31.0,25.0,74.0,69.0,59.0,78.0,51.0,63.0,69.0,92.0,80.0,78.0,76.0
Louisiana,23.0,43.0,38.0,47.0,68.0,70.0,44.0,76.0,64.0,79.0,73.0,70.0,68.0
Maine,20.0,50.0,51.0,77.0,75.0,85.0,47.0,52.0,68.0,78.0,87.0,85.0,59.0
Maryland,15.0,32.0,60.0,55.0,53.0,65.0,55.0,63.0,70.0,80.0,79.0,83.0,73.0
Massachusetts,18.0,33.0,42.0,60.0,45.0,70.0,40.0,52.0,52.0,61.0,69.0,69.0,67.0
Michigan,23.0,36.0,35.0,60.0,57.0,77.0,64.0,53.0,61.0,68.0,69.0,79.0,73.0
Minnesota,29.0,43.0,49.0,49.0,70.0,77.0,53.0,52.0,68.0,78.0,86.0,77.0,73.0
Mississippi,29.0,12.0,42.0,61.0,81.0,65.0,78.0,67.0,79.0,78.0,85.0,93.0,92.0
Missouri,17.0,27.0,34.0,73.0,46.0,72.0,65.0,67.0,70.0,72.0,92.0,89.0,77.0
Nebraska,50.0,46.0,61.0,53.0,62.0,67.0,43.0,66.0,69.0,72.0,65.0,82.0,71.0
Nevada,18.0,19.0,29.0,68.0,32.0,69.0,53.0,46.0,67.0,73.0,69.0,79.0,68.0
New Hampshire,10.0,29.0,30.0,66.0,75.0,62.0,49.0,63.0,63.0,79.0,77.0,67.0,57.0
New Jersey,22.0,30.0,47.0,66.0,49.0,63.0,46.0,56.0,59.0,63.0,67.0,62.0,75.0
New Mexico,25.0,54.0,44.0,100.0,86.0,64.0,66.0,81.0,73.0,92.0,79.0,86.0,85.0
New York,20.0,25.0,28.0,57.0,44.0,61.0,47.0,43.0,53.0,62.0,58.0,61.0,66.0
North Carolina,22.0,44.0,56.0,61.0,51.0,65.0,61.0,63.0,70.0,79.0,78.0,77.0,70.0
North Dakota,57.0,88.0,,50.0,49.0,86.0,78.0,100.0,100.0,83.0,97.0,71.0,92.0
Ohio,27.0,33.0,52.0,54.0,52.0,75.0,61.0,63.0,73.0,82.0,87.0,83.0,73.0
Oklahoma,20.0,15.0,71.0,67.0,63.0,72.0,54.0,61.0,74.0,84.0,73.0,72.0,78.0
Oregon,27.0,12.0,64.0,75.0,45.0,74.0,52.0,52.0,65.0,48.0,42.0,55.0,66.0
Pennsylvania,28.0,30.0,60.0,63.0,55.0,70.0,57.0,58.0,67.0,62.0,74.0,76.0,72.0
Rhode Island,31.0,23.0,49.0,53.0,33.0,60.0,30.0,66.0,59.0,84.0,80.0,68.0,68.0
South Carolina,42.0,32.0,32.0,63.0,66.0,71.0,60.0,61.0,56.0,93.0,85.0,77.0,68.0
