,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,33,37,39,20,36,27,41,35,40,33,14,44,35,41,39,40,51,14,29,25,39,35,40,31,28,29,88,30,14,43,44,32,41,70,33,20,43,48,61,43,55,35,35,33,62,42,31,82,41,66
2005-01-01,47,19,33,44,37,41,40,24,31,33,27,47,39,49,24,45,40,40,48,39,38,43,37,38,29,49,38,54,39,39,53,33,38,59,33,35,36,36,37,35,64,38,42,35,58,45,40,31,36,74
2006-01-01,35,46,42,32,40,38,43,27,40,35,31,50,39,48,32,36,48,41,42,38,47,40,39,48,29,54,44,30,71,42,50,33,37,39,41,29,56,40,32,44,32,39,38,34,26,46,35,39,41,47
2007-01-01,43,31,38,43,46,50,35,57,47,44,34,36,45,54,54,63,43,47,43,42,48,45,38,33,40,24,46,35,48,47,40,40,35,66,43,38,49,47,40,48,40,36,44,42,36,51,39,51,47,50
2008-01-01,58,42,51,54,43,59,48,56,53,51,43,57,52,57,54,60,51,59,47,49,48,54,50,51,46,52,65,42,55,47,64,44,48,52,50,45,50,49,46,60,58,51,50,45,48,38,43,48,50,58
2009-01-01,63,36,65,65,44,58,64,66,62,62,58,69,65,62,66,67,63,66,64,57,68,59,62,52,59,42,67,59,54,66,63,53,54,93,59,51,62,64,54,63,63,62,65,56,61,38,56,54,58,71
2010-01-01,77,43,71,65,44,71,65,71,69,68,73,67,70,96,65,87,73,71,54,69,62,70,64,55,65,60,85,79,61,66,85,61,72,71,73,55,78,77,50,76,72,79,67,73,35,36,65,75,68,70
2011-01-01,56,59,62,69,59,66,59,51,61,58,67,61,57,70,56,80,58,68,66,62,61,59,57,58,61,62,72,58,66,62,77,52,60,77,60,59,63,64,52,67,67,66,60,62,68,70,58,61,67,66
2012-01-01,73,56,70,69,69,63,62,61,70,64,74,56,68,75,61,82,73,69,68,63,67,64,63,59,61,69,69,64,86,73,77,57,68,90,70,62,72,71,66,76,74,76,68,62,74,85,63,77,73,72
2013-01-01,73,53,70,89,73,73,70,69,68,64,81,83,66,83,66,82,73,80,74,68,75,69,70,61,70,79,78,73,79,74,83,62,74,94,76,60,51,71,69,87,69,76,71,69,56,78,68,78,77,70
2014-01-01,80,56,78,88,78,78,76,87,79,74,73,76,77,88,74,75,75,86,84,82,81,75,77,75,76,80,84,76,91,82,74,67,77,88,83,62,50,77,72,88,85,75,79,70,75,60,75,76,84,71
2015-01-01,100,80,100,100,100,100,97,100,100,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,87,100,100,100,100,100,87,100,92,100,75,77,100,100,100,98,100,100,100,100,70,97,100,100,100
2016-01-01,83,71,91,86,90,91,88,88,86,85,86,86,85,86,81,98,89,90,80,83,88,84,89,82,79,84,86,90,81,91,76,84,81,93,82,72,79,87,75,90,76,86,86,76,71,97,80,87,84,93
2017-01-01,82,69,91,97,94,91,100,84,91,88,91,81,89,98,78,100,96,92,88,92,86,88,89,79,91,74,92,93,100,89,84,94,84,100,89,75,90,92,79,92,75,89,91,72,83,100,88,89,94,77
2018-01-01,85,100,77,85,88,93,79,80,87,90,79,81,74,82,82,95,77,98,69,92,82,97,90,84,67,100,82,59,69,78,54,100,73,49,93,100,100,64,51,76,100,96,86,80,70,83,100,65,78,96
