,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,35,26,33,79,32,45,30,100,33,39,46,47,36,26,59,25,54,44,43,31,44,35,31,36,35,35,56,44,57,39,27,41,31,31,33,33,43,45,37,26,40,43,30,48,35,36,30,50,29,63
2005-01-01,30,31,38,48,36,44,57,23,32,37,42,32,40,26,44,42,34,35,25,42,43,37,41,52,46,30,55,37,43,38,37,33,35,27,32,31,40,39,45,32,0,41,45,25,73,39,29,45,42,72
2006-01-01,43,29,34,29,41,33,37,51,32,34,26,19,46,41,53,38,29,31,41,39,47,37,42,29,31,24,27,26,50,37,50,35,44,33,37,40,36,47,38,32,26,32,37,31,29,35,30,23,35,0
2007-01-01,47,52,40,39,37,39,34,38,47,52,40,38,47,44,39,41,35,40,44,39,47,45,43,28,37,42,41,27,43,45,63,40,43,47,38,37,53,45,37,43,26,41,40,46,54,43,36,48,45,48
2008-01-01,62,30,51,54,45,61,52,78,52,53,57,62,61,49,67,61,50,63,51,58,54,53,54,42,49,58,62,46,61,57,80,52,57,35,54,45,55,54,50,50,26,67,50,37,84,39,39,59,51,45
2009-01-01,78,51,64,60,48,68,64,56,60,65,59,46,71,58,71,57,77,55,66,64,69,66,63,51,61,61,64,65,60,59,74,58,60,35,58,60,61,73,76,64,43,69,62,51,66,35,45,39,63,45
2010-01-01,89,43,66,57,44,68,77,62,70,65,51,63,69,83,70,65,78,86,60,67,61,72,77,43,76,49,77,76,69,65,71,64,71,40,72,69,71,75,51,82,65,78,68,61,39,33,47,65,72,74
2011-01-01,70,46,75,62,63,70,73,57,61,64,66,58,64,62,70,61,62,65,72,68,64,66,68,51,64,69,73,71,80,66,73,57,67,58,62,57,69,67,72,79,50,74,62,50,62,66,45,95,66,42
2012-01-01,76,64,76,75,75,71,77,58,71,66,90,60,73,73,76,72,73,63,82,69,73,68,69,58,70,81,93,63,73,75,71,64,71,55,72,76,78,76,80,82,60,78,67,56,85,78,53,74,68,81
2013-01-01,84,42,73,76,80,76,89,67,75,74,89,60,80,82,80,72,85,77,84,76,73,74,76,50,78,87,97,79,100,77,85,74,77,48,78,74,53,83,80,95,67,92,74,64,66,82,62,74,81,68
2014-01-01,95,71,84,90,84,81,95,77,83,79,74,69,83,79,86,74,79,84,72,86,82,79,86,60,86,77,80,80,92,88,97,72,80,50,88,67,56,86,87,89,68,95,80,68,79,65,64,88,85,79
2015-01-01,96,80,100,100,100,100,97,94,100,100,100,76,100,100,97,81,100,100,96,99,100,92,95,70,100,100,100,100,88,97,94,91,100,58,100,79,77,100,87,100,100,97,100,100,86,64,74,100,100,92
2016-01-01,97,65,98,77,95,96,97,77,90,92,82,62,93,85,91,95,95,91,100,92,92,88,96,66,92,89,98,82,99,92,86,91,85,57,88,87,94,96,92,92,69,91,87,74,100,97,72,74,92,92
2017-01-01,100,65,98,85,98,99,100,75,97,91,93,73,96,85,99,95,91,80,90,97,95,91,100,69,94,92,92,89,86,95,100,100,86,57,94,83,99,95,100,96,80,100,91,84,96,100,68,94,99,83
2018-01-01,79,100,66,83,81,77,71,53,77,86,59,100,97,76,100,100,79,79,80,100,92,100,79,100,93,93,53,87,54,100,55,95,74,100,84,100,100,90,87,66,89,88,87,66,76,92,100,98,90,100
