,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,100,100,100,100,100,100,100,100,100,100,100,70,100,100,99,100,100,100,92,100,100,100,100,93,100,100,80,89,100,100,92,100,100,100,100,100,100,100,100,100,94,100,100,100,95,100,100,86,100,68
2005-01-01,91,84,89,82,83,97,83,86,91,95,83,76,87,85,94,83,80,80,100,88,90,95,91,100,89,87,87,72,99,82,98,87,86,73,96,95,91,88,98,97,76,97,84,89,87,83,91,100,91,80
2006-01-01,88,78,77,80,78,88,79,77,76,87,70,75,83,86,88,96,89,87,89,76,79,85,82,90,81,80,89,77,90,75,83,84,79,48,92,79,80,85,93,78,96,86,80,77,92,80,79,73,87,84
2007-01-01,88,70,87,82,82,88,76,81,83,95,68,77,84,85,85,86,80,93,80,82,85,86,80,89,84,84,75,79,88,79,89,83,84,75,96,80,82,88,90,93,90,80,84,86,80,83,85,84,91,70
2008-01-01,90,74,84,72,70,86,80,81,75,85,65,69,78,93,83,84,76,84,89,77,81,83,82,80,76,88,81,82,85,74,76,77,76,72,87,82,78,80,80,86,82,80,75,70,87,59,78,69,86,73
2009-01-01,95,86,95,80,68,89,83,77,83,95,69,86,87,93,95,95,89,99,82,87,87,94,92,92,85,83,88,83,95,81,100,84,81,68,95,83,84,90,86,86,100,86,85,90,94,47,87,79,89,100
2010-01-01,90,78,92,83,55,89,80,71,77,88,64,92,85,95,100,94,83,93,84,83,79,91,92,79,91,89,100,87,83,78,100,80,81,70,100,79,89,88,82,89,87,84,75,94,63,38,85,87,97,86
2011-01-01,83,75,82,81,76,79,73,64,74,75,61,75,72,85,82,92,81,85,84,73,75,82,78,85,74,84,81,78,82,73,79,68,68,60,83,77,86,80,83,80,97,80,67,82,87,79,75,79,83,65
2012-01-01,84,72,83,80,77,73,74,66,73,76,63,74,70,79,80,90,79,75,76,71,72,76,76,78,72,83,73,79,87,76,80,69,69,52,85,76,84,80,81,82,88,76,69,75,83,83,77,77,78,76
2013-01-01,82,82,80,81,80,76,79,71,71,78,64,69,73,84,82,81,80,82,81,72,75,84,82,69,71,84,79,74,83,78,77,75,73,56,87,76,56,81,88,84,89,75,71,77,86,82,77,84,84,73
2014-01-01,80,73,80,81,78,72,73,67,71,73,63,74,72,83,76,75,82,80,81,70,74,80,75,72,73,77,74,75,81,76,68,72,69,57,87,73,48,75,77,78,85,74,70,76,70,56,76,79,79,66
2015-01-01,84,75,81,73,76,72,79,63,75,78,60,69,73,85,76,71,82,83,76,73,75,83,75,81,75,69,72,77,78,76,69,72,69,57,86,74,58,78,79,77,90,75,68,73,73,49,75,83,81,65
2016-01-01,74,72,76,67,73,69,66,60,66,74,61,64,67,73,68,79,76,77,71,63,70,78,67,79,70,67,65,69,72,71,60,70,62,54,78,68,68,72,70,74,75,69,64,68,68,73,70,79,73,67
2017-01-01,80,72,83,76,79,75,74,63,73,79,64,68,76,77,74,83,85,87,74,70,74,86,73,82,74,70,69,72,76,78,70,80,69,50,83,67,74,77,79,78,75,72,69,72,71,80,75,82,78,72
2018-01-01,74,61,78,57,79,68,86,52,70,74,57,100,74,62,72,94,78,76,82,75,66,88,73,61,67,60,58,100,76,82,69,80,66,45,77,67,86,70,66,68,97,71,70,66,100,87,81,78,83,87
