,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,26.0,17.0,38.0,30.0,36.0,38.0,40.0,33.0,39.0,43.0,46.0,44.0,46.0
Alaska,8.0,73.0,70.0,40.0,59.0,53.0,73.0,63.0,64.0,73.0,78.0,69.0,75.0
Arizona,37.0,44.0,55.0,55.0,47.0,62.0,63.0,58.0,63.0,63.0,69.0,67.0,71.0
Arkansas,24.0,31.0,50.0,47.0,40.0,39.0,50.0,46.0,49.0,51.0,51.0,52.0,45.0
California,30.0,31.0,38.0,40.0,36.0,37.0,35.0,45.0,51.0,54.0,59.0,56.0,58.0
Colorado,62.0,72.0,88.0,86.0,86.0,91.0,96.0,84.0,88.0,91.0,99.0,91.0,99.0
Connecticut,43.0,47.0,59.0,64.0,60.0,66.0,63.0,50.0,57.0,66.0,74.0,76.0,83.0
Delaware,43.0,42.0,83.0,43.0,46.0,39.0,39.0,45.0,52.0,58.0,63.0,62.0,58.0
District of Columbia,42.0,27.0,63.0,55.0,53.0,49.0,55.0,54.0,54.0,58.0,68.0,66.0,75.0
Florida,22.0,28.0,36.0,39.0,34.0,37.0,38.0,37.0,46.0,48.0,56.0,54.0,54.0
Georgia,36.0,36.0,42.0,41.0,39.0,46.0,46.0,41.0,48.0,49.0,51.0,52.0,56.0
Hawaii,5.0,36.0,29.0,38.0,31.0,35.0,38.0,36.0,41.0,52.0,60.0,55.0,55.0
Idaho,28.0,74.0,64.0,63.0,75.0,70.0,75.0,75.0,76.0,80.0,87.0,84.0,85.0
Illinois,39.0,40.0,58.0,55.0,53.0,56.0,59.0,53.0,57.0,58.0,64.0,65.0,72.0
Indiana,37.0,42.0,43.0,43.0,47.0,53.0,55.0,47.0,52.0,56.0,62.0,60.0,60.0
Iowa,41.0,42.0,70.0,69.0,49.0,59.0,54.0,51.0,53.0,59.0,68.0,66.0,68.0
Kansas,46.0,43.0,64.0,62.0,51.0,54.0,56.0,52.0,57.0,60.0,56.0,51.0,65.0
Kentucky,35.0,34.0,30.0,46.0,32.0,42.0,41.0,39.0,45.0,47.0,55.0,57.0,57.0
Louisiana,18.0,20.0,34.0,40.0,23.0,30.0,33.0,31.0,39.0,40.0,47.0,42.0,42.0
Maine,41.0,88.0,72.0,64.0,100.0,89.0,82.0,78.0,81.0,89.0,96.0,91.0,98.0
Maryland,29.0,41.0,53.0,51.0,41.0,48.0,58.0,46.0,47.0,55.0,60.0,58.0,57.0
Massachusetts,41.0,50.0,81.0,70.0,63.0,72.0,68.0,58.0,69.0,74.0,81.0,78.0,83.0
Michigan,33.0,35.0,58.0,57.0,53.0,54.0,58.0,51.0,53.0,65.0,68.0,64.0,75.0
Minnesota,48.0,60.0,62.0,74.0,69.0,73.0,78.0,63.0,75.0,82.0,85.0,83.0,87.0
Mississippi,15.0,10.0,25.0,36.0,32.0,37.0,48.0,33.0,36.0,38.0,45.0,45.0,41.0
Missouri,34.0,40.0,58.0,53.0,48.0,50.0,59.0,44.0,54.0,61.0,64.0,60.0,67.0
Montana,45.0,81.0,41.0,88.0,71.0,68.0,79.0,71.0,88.0,92.0,97.0,84.0,90.0
Nebraska,29.0,49.0,45.0,42.0,55.0,54.0,50.0,54.0,54.0,65.0,67.0,70.0,73.0
Nevada,23.0,21.0,39.0,40.0,37.0,44.0,56.0,46.0,49.0,58.0,64.0,54.0,59.0
New Hampshire,48.0,57.0,76.0,96.0,72.0,91.0,92.0,73.0,82.0,87.0,99.0,100.0,97.0
New Jersey,27.0,39.0,50.0,54.0,48.0,49.0,52.0,42.0,47.0,55.0,63.0,62.0,62.0
New Mexico,31.0,37.0,48.0,65.0,40.0,60.0,62.0,53.0,56.0,66.0,66.0,60.0,65.0
New York,40.0,46.0,58.0,54.0,50.0,53.0,56.0,48.0,51.0,57.0,64.0,64.0,70.0
North Carolina,32.0,41.0,52.0,56.0,42.0,47.0,55.0,49.0,58.0,58.0,66.0,55.0,62.0
North Dakota,43.0,55.0,58.0,86.0,69.0,44.0,55.0,48.0,52.0,68.0,71.0,74.0,75.0
Ohio,22.0,42.0,44.0,48.0,41.0,48.0,57.0,47.0,53.0,54.0,67.0,62.0,66.0
Oklahoma,50.0,36.0,54.0,46.0,38.0,47.0,51.0,45.0,52.0,56.0,65.0,62.0,61.0
Oregon,63.0,62.0,95.0,87.0,84.0,100.0,100.0,100.0,100.0,60.0,63.0,69.0,91.0
Pennsylvania,37.0,43.0,54.0,61.0,47.0,50.0,52.0,47.0,56.0,59.0,68.0,62.0,68.0
Rhode Island,36.0,56.0,78.0,61.0,65.0,67.0,67.0,59.0,64.0,73.0,79.0,74.0,77.0
South Carolina,36.0,38.0,64.0,47.0,31.0,42.0,46.0,41.0,42.0,47.0,53.0,49.0,50.0
South Dakota,52.0,41.0,36.0,57.0,45.0,73.0,71.0,58.0,65.0,71.0,71.0,71.0,75.0
Tennessee,23.0,30.0,44.0,46.0,39.0,47.0,51.0,45.0,53.0,57.0,60.0,58.0,61.0
Texas,35.0,35.0,47.0,46.0,40.0,49.0,46.0,43.0,45.0,45.0,50.0,47.0,52.0
Utah,31.0,66.0,79.0,59.0,56.0,59.0,71.0,68.0,65.0,69.0,83.0,80.0,85.0
Vermont,100.0,100.0,100.0,86.0,92.0,66.0,65.0,78.0,94.0,100.0,100.0,90.0,100.0
Virginia,41.0,42.0,53.0,49.0,34.0,29.0,30.0,47.0,52.0,61.0,47.0,38.0,63.0
Washington,54.0,69.0,71.0,80.0,76.0,78.0,88.0,78.0,86.0,89.0,91.0,83.0,88.0
West Virginia,37.0,24.0,51.0,48.0,41.0,37.0,45.0,40.0,38.0,44.0,52.0,53.0,53.0
Wisconsin,49.0,60.0,63.0,69.0,55.0,61.0,70.0,60.0,65.0,72.0,79.0,73.0,79.0
Wyoming,17.0,40.0,80.0,100.0,58.0,70.0,82.0,67.0,72.0,74.0,75.0,68.0,78.0
