,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,12.0,44.0,25.0,24.0,34.0,71.0,45.0,65.0,26.0,76.0,56.0,80.0,71.0
Alaska,36.0,100.0,26.0,30.0,51.0,21.0,42.0,20.0,20.0,64.0,46.0,21.0,59.0
Arizona,27.0,28.0,44.0,27.0,34.0,58.0,42.0,52.0,38.0,62.0,50.0,56.0,58.0
Arkansas,100.0,23.0,62.0,23.0,47.0,59.0,32.0,55.0,43.0,56.0,63.0,55.0,66.0
California,18.0,35.0,30.0,18.0,25.0,26.0,22.0,43.0,25.0,47.0,38.0,46.0,46.0
Colorado,21.0,14.0,21.0,19.0,33.0,37.0,46.0,40.0,25.0,43.0,33.0,63.0,52.0
Connecticut,39.0,28.0,51.0,35.0,31.0,45.0,27.0,34.0,30.0,56.0,53.0,64.0,70.0
Delaware,90.0,,31.0,100.0,,50.0,29.0,65.0,27.0,94.0,64.0,52.0,89.0
District of Columbia,22.0,32.0,44.0,24.0,39.0,38.0,44.0,42.0,27.0,42.0,36.0,44.0,49.0
Florida,33.0,39.0,35.0,17.0,36.0,54.0,39.0,45.0,31.0,53.0,45.0,61.0,58.0
Georgia,17.0,34.0,59.0,14.0,31.0,41.0,37.0,44.0,25.0,49.0,43.0,52.0,49.0
Idaho,29.0,27.0,,14.0,100.0,45.0,54.0,75.0,38.0,61.0,43.0,43.0,48.0
Illinois,32.0,36.0,25.0,20.0,38.0,39.0,40.0,42.0,28.0,53.0,42.0,54.0,52.0
Indiana,41.0,56.0,38.0,36.0,59.0,50.0,46.0,57.0,32.0,64.0,55.0,68.0,53.0
Iowa,53.0,49.0,60.0,35.0,45.0,46.0,53.0,59.0,46.0,73.0,61.0,71.0,55.0
Kentucky,32.0,77.0,47.0,20.0,82.0,45.0,72.0,54.0,33.0,59.0,63.0,68.0,61.0
Louisiana,37.0,58.0,34.0,23.0,47.0,21.0,73.0,57.0,40.0,70.0,49.0,68.0,70.0
Maine,64.0,20.0,47.0,44.0,47.0,47.0,46.0,64.0,29.0,75.0,42.0,73.0,48.0
Maryland,41.0,35.0,60.0,26.0,23.0,44.0,41.0,48.0,30.0,50.0,46.0,57.0,66.0
Massachusetts,5.0,27.0,49.0,29.0,44.0,37.0,36.0,43.0,26.0,67.0,43.0,56.0,58.0
Michigan,40.0,43.0,48.0,38.0,42.0,47.0,61.0,45.0,35.0,60.0,54.0,59.0,52.0
Minnesota,25.0,36.0,14.0,31.0,39.0,38.0,64.0,49.0,35.0,64.0,40.0,71.0,57.0
Missouri,36.0,13.0,34.0,17.0,52.0,50.0,55.0,56.0,41.0,78.0,50.0,61.0,58.0
Montana,47.0,40.0,30.0,33.0,42.0,14.0,13.0,80.0,38.0,45.0,63.0,57.0,42.0
Nebraska,17.0,64.0,24.0,38.0,13.0,53.0,95.0,57.0,28.0,68.0,67.0,85.0,56.0
Nevada,38.0,30.0,11.0,15.0,27.0,47.0,31.0,49.0,31.0,55.0,37.0,45.0,62.0
New Jersey,19.0,17.0,23.0,14.0,25.0,34.0,41.0,33.0,28.0,45.0,39.0,49.0,55.0
New York,25.0,31.0,34.0,21.0,28.0,35.0,31.0,37.0,26.0,48.0,42.0,46.0,51.0
North Carolina,21.0,53.0,40.0,28.0,38.0,38.0,43.0,47.0,29.0,50.0,40.0,51.0,54.0
North Dakota,61.0,,83.0,44.0,72.0,100.0,28.0,100.0,52.0,96.0,100.0,61.0,83.0
Ohio,40.0,28.0,42.0,22.0,44.0,56.0,60.0,60.0,38.0,69.0,55.0,78.0,63.0
Oklahoma,28.0,49.0,73.0,34.0,49.0,55.0,49.0,61.0,34.0,74.0,51.0,74.0,55.0
Oregon,50.0,37.0,49.0,30.0,36.0,46.0,33.0,41.0,30.0,36.0,28.0,42.0,52.0
Pennsylvania,23.0,36.0,61.0,29.0,42.0,52.0,52.0,57.0,35.0,60.0,57.0,57.0,59.0
South Carolina,25.0,56.0,76.0,12.0,34.0,65.0,58.0,42.0,26.0,62.0,50.0,52.0,50.0
South Dakota,54.0,96.0,100.0,23.0,71.0,85.0,66.0,59.0,100.0,100.0,52.0,69.0,91.0
