,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2004-01-01,35,87,72,93,67,86,63,0,64,78,39,62,92,81,100,93,82,82,66,100,69,67,57,94,82,0,100,100,34,57,80,71,74,58,69,100,90,91,45,100,49,57,76,59,61,70,64,100,63,0
2005-01-01,45,100,75,60,80,34,90,100,61,84,28,41,95,80,52,52,61,85,83,84,79,74,58,40,75,38,79,66,52,69,100,65,100,32,72,85,71,71,41,60,34,59,80,85,33,61,68,39,76,0
2006-01-01,85,85,79,70,67,72,62,87,62,100,41,50,84,79,67,72,53,55,67,70,75,60,57,65,86,44,85,86,100,65,89,73,85,24,76,73,71,85,60,70,31,60,78,46,24,67,65,42,67,39
2007-01-01,65,95,84,43,74,67,66,76,62,79,36,70,78,86,100,66,53,93,59,72,78,86,79,57,80,37,78,62,68,93,81,81,71,47,72,60,70,58,80,72,53,59,73,85,10,100,85,55,59,25
2008-01-01,66,76,75,55,60,58,62,31,83,72,23,83,90,85,57,93,100,86,25,65,79,80,79,38,79,51,60,61,71,77,50,79,69,45,77,55,71,67,50,74,51,85,78,99,24,63,62,37,63,49
2009-01-01,89,57,97,63,68,90,74,87,78,85,47,71,96,76,62,86,66,69,48,94,79,89,97,77,100,40,97,70,66,95,43,89,92,53,86,66,100,85,67,64,37,78,87,88,18,50,83,46,76,45
2010-01-01,76,75,81,75,65,79,66,78,83,86,37,93,100,90,86,95,86,89,42,88,83,100,100,70,93,39,99,77,74,82,89,94,97,32,89,81,81,100,90,75,43,100,95,95,18,47,77,63,82,68
2011-01-01,87,60,100,67,89,73,81,61,79,88,52,100,97,75,71,88,83,100,57,76,85,81,83,100,91,69,67,69,58,93,54,83,87,52,86,82,76,84,46,65,41,87,89,85,17,88,85,43,89,54
2012-01-01,76,92,93,93,93,71,70,49,81,87,47,92,95,79,67,100,73,100,55,76,92,86,79,88,83,61,59,68,65,93,56,82,88,45,86,89,86,80,71,67,52,79,95,88,17,83,73,44,85,57
2013-01-01,84,70,86,82,88,68,89,49,77,91,55,72,93,81,75,94,63,88,63,78,87,82,82,77,82,56,72,77,73,91,62,86,84,48,85,82,54,82,65,66,49,81,95,100,20,85,72,53,86,47
2014-01-01,84,58,94,75,92,78,100,52,87,84,42,76,96,86,66,82,77,90,50,82,90,82,89,82,87,63,86,74,66,97,69,90,82,58,92,78,56,87,88,70,53,79,95,80,20,65,87,46,87,53
2015-01-01,100,75,97,70,98,91,93,71,100,100,53,86,97,100,65,84,79,83,45,87,100,94,99,91,99,60,79,71,74,100,70,92,91,34,100,73,68,90,82,60,55,87,99,84,26,61,83,60,100,17
2016-01-01,80,83,95,63,91,71,71,82,72,88,48,64,92,70,59,83,69,77,63,73,94,73,83,94,76,48,69,56,57,91,40,87,81,28,85,77,73,78,70,56,39,69,87,66,24,81,78,46,78,59
2017-01-01,74,85,91,61,100,85,98,60,82,94,48,71,99,81,59,82,71,83,61,84,96,83,97,88,91,54,77,78,46,95,55,94,79,32,83,80,76,83,100,68,53,80,91,84,26,91,83,49,79,51
2018-01-01,84,0,64,100,96,100,70,70,78,80,100,46,85,61,72,69,41,59,100,54,60,60,41,55,80,100,79,24,88,76,76,100,54,100,68,84,70,72,69,66,100,52,100,67,100,65,100,73,83,100
