,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,75.0,64.0,62.0,75.0,76.0,87.0,97.0,100.0,74.0,85.0,85.0,84.0,86.0
Alaska,15.0,74.0,54.0,50.0,54.0,59.0,42.0,66.0,75.0,65.0,75.0,88.0,83.0
Arizona,53.0,51.0,59.0,53.0,64.0,64.0,72.0,72.0,68.0,79.0,74.0,68.0,80.0
Arkansas,65.0,34.0,52.0,66.0,62.0,90.0,69.0,69.0,75.0,87.0,77.0,71.0,81.0
California,44.0,56.0,51.0,50.0,49.0,49.0,42.0,57.0,52.0,59.0,58.0,52.0,62.0
Colorado,43.0,54.0,49.0,53.0,65.0,61.0,66.0,61.0,53.0,62.0,57.0,58.0,65.0
Connecticut,65.0,51.0,62.0,52.0,63.0,74.0,69.0,71.0,60.0,72.0,73.0,71.0,71.0
Delaware,98.0,45.0,60.0,81.0,81.0,84.0,85.0,78.0,57.0,81.0,69.0,85.0,82.0
District of Columbia,55.0,58.0,65.0,48.0,67.0,65.0,63.0,63.0,54.0,69.0,54.0,52.0,70.0
Florida,40.0,55.0,57.0,59.0,69.0,73.0,68.0,70.0,68.0,74.0,69.0,73.0,73.0
Georgia,52.0,55.0,69.0,59.0,64.0,70.0,73.0,64.0,59.0,69.0,65.0,59.0,72.0
Hawaii,51.0,70.0,54.0,37.0,68.0,70.0,45.0,80.0,65.0,81.0,55.0,54.0,65.0
Idaho,19.0,45.0,37.0,61.0,83.0,57.0,77.0,68.0,64.0,70.0,75.0,58.0,68.0
Illinois,51.0,62.0,62.0,53.0,67.0,64.0,64.0,65.0,59.0,67.0,63.0,58.0,65.0
Indiana,66.0,69.0,59.0,60.0,75.0,78.0,85.0,77.0,67.0,77.0,78.0,63.0,73.0
Iowa,57.0,62.0,96.0,54.0,64.0,79.0,78.0,62.0,59.0,86.0,75.0,65.0,72.0
Kansas,50.0,38.0,58.0,64.0,80.0,54.0,62.0,70.0,59.0,72.0,56.0,53.0,63.0
Kentucky,81.0,60.0,60.0,57.0,81.0,84.0,83.0,87.0,73.0,81.0,77.0,74.0,84.0
Louisiana,75.0,71.0,55.0,68.0,68.0,86.0,86.0,79.0,70.0,81.0,70.0,74.0,79.0
Maine,88.0,64.0,67.0,68.0,68.0,74.0,70.0,83.0,64.0,83.0,60.0,69.0,87.0
Maryland,58.0,63.0,83.0,74.0,87.0,92.0,97.0,83.0,73.0,82.0,79.0,82.0,80.0
Massachusetts,52.0,61.0,62.0,57.0,63.0,68.0,60.0,63.0,60.0,71.0,64.0,64.0,66.0
Michigan,54.0,57.0,70.0,54.0,79.0,79.0,89.0,75.0,67.0,74.0,68.0,66.0,74.0
Minnesota,70.0,61.0,62.0,59.0,65.0,72.0,81.0,70.0,60.0,77.0,66.0,69.0,76.0
Mississippi,87.0,96.0,81.0,62.0,81.0,78.0,61.0,100.0,95.0,84.0,92.0,91.0,100.0
Missouri,56.0,100.0,64.0,73.0,75.0,87.0,76.0,75.0,63.0,73.0,67.0,73.0,72.0
Montana,40.0,65.0,77.0,47.0,80.0,88.0,76.0,73.0,56.0,69.0,61.0,54.0,76.0
Nebraska,41.0,74.0,61.0,54.0,83.0,73.0,77.0,69.0,76.0,76.0,77.0,66.0,74.0
Nevada,41.0,34.0,48.0,43.0,61.0,62.0,50.0,62.0,54.0,73.0,56.0,59.0,59.0
New Hampshire,48.0,65.0,43.0,39.0,62.0,41.0,56.0,58.0,57.0,63.0,63.0,55.0,62.0
New Jersey,62.0,71.0,59.0,60.0,72.0,60.0,69.0,71.0,66.0,67.0,63.0,59.0,66.0
New Mexico,62.0,69.0,57.0,75.0,54.0,99.0,89.0,75.0,83.0,98.0,78.0,71.0,79.0
New York,54.0,57.0,52.0,52.0,63.0,63.0,68.0,61.0,55.0,64.0,60.0,58.0,68.0
North Carolina,56.0,83.0,71.0,72.0,81.0,82.0,74.0,74.0,69.0,75.0,73.0,63.0,68.0
North Dakota,91.0,100.0,100.0,64.0,99.0,100.0,100.0,71.0,68.0,88.0,72.0,84.0,64.0
Ohio,59.0,60.0,56.0,57.0,76.0,70.0,80.0,77.0,73.0,81.0,76.0,74.0,76.0
Oklahoma,72.0,64.0,75.0,59.0,69.0,68.0,61.0,75.0,69.0,68.0,66.0,59.0,74.0
Oregon,56.0,57.0,51.0,50.0,56.0,63.0,68.0,65.0,58.0,46.0,42.0,50.0,61.0
Pennsylvania,65.0,69.0,67.0,66.0,81.0,88.0,87.0,76.0,75.0,87.0,75.0,69.0,78.0
Rhode Island,52.0,46.0,46.0,72.0,53.0,64.0,58.0,75.0,59.0,81.0,58.0,62.0,67.0
South Carolina,44.0,59.0,59.0,62.0,70.0,80.0,75.0,82.0,65.0,89.0,75.0,61.0,76.0
South Dakota,70.0,61.0,58.0,100.0,100.0,54.0,75.0,82.0,86.0,98.0,80.0,77.0,69.0
Tennessee,69.0,94.0,58.0,67.0,74.0,87.0,96.0,82.0,84.0,86.0,87.0,81.0,83.0
Texas,44.0,56.0,62.0,61.0,72.0,72.0,65.0,61.0,59.0,66.0,62.0,58.0,65.0
Utah,45.0,49.0,75.0,46.0,73.0,62.0,74.0,60.0,55.0,59.0,59.0,50.0,59.0
Vermont,45.0,75.0,81.0,68.0,59.0,90.0,34.0,61.0,68.0,76.0,64.0,59.0,74.0
Virginia,57.0,53.0,62.0,57.0,50.0,39.0,34.0,64.0,62.0,70.0,54.0,45.0,68.0
