,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,38.0,43.0,70.0,84.0,68.0,84.0,81.0,67.0,89.0,84.0,81.0,77.0,77.0
Alaska,46.0,57.0,44.0,74.0,46.0,68.0,37.0,62.0,63.0,61.0,61.0,49.0,70.0
Arizona,27.0,46.0,53.0,65.0,57.0,65.0,68.0,67.0,84.0,72.0,75.0,65.0,71.0
Arkansas,22.0,56.0,47.0,67.0,61.0,61.0,60.0,67.0,84.0,81.0,94.0,73.0,81.0
California,25.0,42.0,44.0,43.0,46.0,44.0,37.0,55.0,62.0,59.0,61.0,55.0,60.0
Colorado,31.0,53.0,51.0,57.0,55.0,64.0,59.0,57.0,63.0,66.0,60.0,58.0,69.0
Connecticut,34.0,51.0,54.0,56.0,67.0,66.0,58.0,67.0,65.0,77.0,78.0,72.0,77.0
Delaware,29.0,23.0,36.0,51.0,58.0,65.0,58.0,66.0,65.0,86.0,66.0,59.0,71.0
District of Columbia,30.0,37.0,49.0,41.0,44.0,50.0,47.0,46.0,53.0,57.0,50.0,52.0,59.0
Florida,29.0,44.0,50.0,55.0,58.0,65.0,63.0,62.0,71.0,66.0,72.0,65.0,68.0
Georgia,30.0,45.0,60.0,56.0,58.0,65.0,59.0,59.0,63.0,59.0,61.0,56.0,68.0
Hawaii,16.0,55.0,31.0,49.0,43.0,56.0,46.0,39.0,66.0,55.0,55.0,56.0,60.0
Idaho,29.0,55.0,100.0,99.0,90.0,84.0,75.0,88.0,97.0,95.0,82.0,72.0,72.0
Illinois,27.0,46.0,46.0,54.0,55.0,65.0,60.0,61.0,65.0,62.0,65.0,56.0,64.0
Indiana,35.0,66.0,80.0,90.0,100.0,100.0,95.0,87.0,89.0,93.0,100.0,92.0,87.0
Iowa,38.0,53.0,64.0,69.0,84.0,81.0,77.0,71.0,87.0,69.0,79.0,63.0,72.0
Kansas,45.0,36.0,62.0,62.0,69.0,73.0,62.0,69.0,79.0,69.0,60.0,61.0,75.0
Kentucky,19.0,58.0,63.0,60.0,76.0,84.0,83.0,94.0,95.0,96.0,84.0,87.0,89.0
Louisiana,35.0,53.0,69.0,78.0,70.0,89.0,68.0,79.0,90.0,78.0,70.0,70.0,79.0
Maine,34.0,44.0,77.0,71.0,50.0,79.0,63.0,93.0,85.0,79.0,67.0,82.0,75.0
Maryland,28.0,48.0,68.0,65.0,72.0,77.0,69.0,73.0,80.0,70.0,81.0,70.0,70.0
Massachusetts,34.0,50.0,61.0,61.0,67.0,69.0,63.0,70.0,79.0,70.0,74.0,70.0,72.0
Michigan,41.0,54.0,66.0,69.0,72.0,75.0,70.0,66.0,71.0,76.0,74.0,68.0,72.0
Minnesota,38.0,50.0,58.0,61.0,60.0,71.0,83.0,67.0,80.0,74.0,72.0,71.0,70.0
Mississippi,12.0,54.0,64.0,64.0,73.0,64.0,71.0,74.0,96.0,74.0,70.0,81.0,75.0
Missouri,36.0,56.0,83.0,70.0,74.0,91.0,71.0,67.0,84.0,82.0,80.0,77.0,82.0
Montana,18.0,51.0,59.0,63.0,45.0,67.0,81.0,77.0,80.0,77.0,97.0,70.0,75.0
Nebraska,30.0,48.0,54.0,88.0,68.0,71.0,66.0,77.0,78.0,75.0,79.0,64.0,74.0
Nevada,17.0,28.0,53.0,36.0,38.0,53.0,61.0,56.0,64.0,60.0,62.0,59.0,59.0
New Hampshire,28.0,38.0,60.0,55.0,66.0,70.0,53.0,69.0,74.0,76.0,60.0,66.0,71.0
New Jersey,30.0,35.0,49.0,53.0,54.0,62.0,60.0,67.0,68.0,63.0,66.0,59.0,65.0
New Mexico,49.0,63.0,68.0,73.0,87.0,93.0,92.0,74.0,79.0,79.0,76.0,83.0,82.0
New York,24.0,45.0,47.0,50.0,53.0,58.0,56.0,54.0,59.0,59.0,62.0,55.0,65.0
North Carolina,30.0,60.0,63.0,61.0,67.0,78.0,71.0,70.0,81.0,74.0,77.0,65.0,72.0
North Dakota,100.0,94.0,77.0,73.0,100.0,90.0,100.0,100.0,82.0,74.0,87.0,78.0,88.0
Ohio,28.0,54.0,64.0,65.0,74.0,69.0,72.0,74.0,84.0,79.0,82.0,76.0,78.0
Oklahoma,29.0,50.0,61.0,56.0,75.0,69.0,73.0,82.0,87.0,75.0,71.0,71.0,80.0
Oregon,26.0,51.0,59.0,58.0,65.0,63.0,80.0,61.0,69.0,49.0,47.0,54.0,63.0
Pennsylvania,38.0,56.0,60.0,68.0,73.0,80.0,74.0,69.0,81.0,84.0,80.0,73.0,78.0
Rhode Island,22.0,33.0,61.0,55.0,41.0,77.0,67.0,66.0,74.0,61.0,79.0,60.0,63.0
South Carolina,22.0,60.0,54.0,70.0,48.0,89.0,65.0,71.0,63.0,74.0,73.0,65.0,71.0
South Dakota,34.0,55.0,71.0,66.0,77.0,89.0,73.0,93.0,100.0,83.0,95.0,100.0,85.0
Tennessee,35.0,50.0,58.0,70.0,67.0,74.0,93.0,85.0,99.0,85.0,88.0,80.0,84.0
Texas,31.0,46.0,56.0,52.0,60.0,64.0,55.0,58.0,66.0,62.0,64.0,58.0,67.0
Utah,28.0,51.0,60.0,67.0,67.0,88.0,66.0,71.0,81.0,77.0,70.0,60.0,66.0
Vermont,35.0,59.0,70.0,100.0,44.0,70.0,38.0,71.0,74.0,81.0,69.0,67.0,64.0
Virginia,29.0,47.0,49.0,48.0,43.0,36.0,28.0,55.0,64.0,62.0,48.0,43.0,66.0
Washington,27.0,46.0,50.0,52.0,52.0,68.0,57.0,64.0,65.0,64.0,66.0,60.0,62.0
West Virginia,54.0,100.0,74.0,60.0,64.0,89.0,80.0,94.0,100.0,100.0,93.0,90.0,100.0
Wisconsin,30.0,52.0,59.0,64.0,75.0,77.0,72.0,76.0,74.0,68.0,77.0,71.0,73.0
Wyoming,53.0,34.0,54.0,93.0,62.0,45.0,63.0,87.0,96.0,87.0,84.0,63.0,69.0
