,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,37.0,49.0,21.0,60.0,62.0,42.0,62.0,83.0,62.0,62.0,85.0,72.0,81.0
Arizona,48.0,48.0,33.0,47.0,47.0,45.0,57.0,68.0,69.0,62.0,75.0,68.0,72.0
Arkansas,86.0,39.0,36.0,91.0,49.0,57.0,95.0,96.0,79.0,82.0,77.0,56.0,88.0
California,31.0,46.0,37.0,47.0,44.0,32.0,40.0,60.0,55.0,57.0,68.0,61.0,72.0
Colorado,23.0,34.0,35.0,47.0,44.0,37.0,61.0,59.0,63.0,60.0,70.0,66.0,69.0
Connecticut,44.0,59.0,44.0,66.0,67.0,50.0,74.0,62.0,62.0,72.0,79.0,73.0,80.0
Delaware,39.0,56.0,40.0,48.0,67.0,39.0,80.0,57.0,73.0,73.0,82.0,67.0,87.0
District of Columbia,47.0,24.0,33.0,51.0,41.0,50.0,60.0,55.0,47.0,57.0,65.0,54.0,65.0
Florida,46.0,34.0,35.0,54.0,47.0,43.0,65.0,67.0,61.0,59.0,73.0,67.0,70.0
Georgia,45.0,38.0,34.0,47.0,50.0,40.0,60.0,69.0,63.0,63.0,77.0,68.0,74.0
Hawaii,56.0,65.0,14.0,37.0,46.0,45.0,59.0,55.0,67.0,69.0,74.0,61.0,71.0
Idaho,100.0,65.0,100.0,42.0,43.0,58.0,77.0,89.0,80.0,84.0,89.0,100.0,84.0
Illinois,52.0,36.0,37.0,54.0,44.0,44.0,63.0,69.0,63.0,61.0,78.0,68.0,75.0
Indiana,39.0,60.0,48.0,61.0,62.0,62.0,79.0,87.0,77.0,71.0,88.0,70.0,86.0
Iowa,29.0,51.0,56.0,59.0,61.0,46.0,87.0,79.0,74.0,79.0,83.0,67.0,85.0
Kansas,33.0,37.0,37.0,72.0,49.0,52.0,86.0,65.0,61.0,66.0,74.0,60.0,74.0
Kentucky,63.0,100.0,48.0,69.0,62.0,63.0,100.0,81.0,60.0,72.0,83.0,77.0,89.0
Louisiana,16.0,28.0,28.0,57.0,58.0,48.0,76.0,67.0,60.0,68.0,74.0,84.0,84.0
