,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,33.0,50.0,38.0,41.0,42.0,43.0,43.0,48.0,56.0,58.0,60.0,63.0,67.0
Alaska,50.0,46.0,29.0,43.0,36.0,50.0,38.0,53.0,59.0,53.0,63.0,62.0,60.0
Arizona,38.0,48.0,40.0,50.0,50.0,48.0,48.0,50.0,59.0,61.0,62.0,61.0,59.0
Arkansas,38.0,71.0,38.0,61.0,56.0,46.0,41.0,45.0,61.0,62.0,62.0,66.0,64.0
California,33.0,46.0,36.0,45.0,43.0,38.0,34.0,51.0,59.0,54.0,56.0,57.0,54.0
Colorado,35.0,43.0,32.0,48.0,45.0,42.0,43.0,48.0,56.0,55.0,58.0,57.0,55.0
Connecticut,37.0,51.0,32.0,60.0,52.0,60.0,51.0,49.0,55.0,54.0,54.0,54.0,55.0
Delaware,26.0,44.0,37.0,68.0,44.0,43.0,56.0,56.0,55.0,60.0,60.0,57.0,67.0
District of Columbia,27.0,33.0,25.0,41.0,44.0,40.0,40.0,48.0,58.0,46.0,52.0,60.0,56.0
Florida,34.0,42.0,35.0,46.0,45.0,46.0,44.0,50.0,59.0,54.0,60.0,58.0,52.0
Georgia,31.0,42.0,33.0,41.0,42.0,42.0,43.0,57.0,63.0,61.0,64.0,67.0,62.0
Hawaii,35.0,45.0,26.0,38.0,50.0,41.0,38.0,44.0,54.0,52.0,54.0,52.0,52.0
Idaho,20.0,61.0,38.0,51.0,42.0,41.0,40.0,49.0,55.0,54.0,57.0,62.0,54.0
Illinois,38.0,49.0,37.0,49.0,47.0,48.0,43.0,53.0,61.0,59.0,60.0,59.0,57.0
Indiana,44.0,55.0,43.0,46.0,44.0,47.0,53.0,56.0,55.0,62.0,65.0,62.0,65.0
Iowa,35.0,45.0,32.0,48.0,45.0,43.0,42.0,48.0,54.0,59.0,57.0,59.0,60.0
Kansas,35.0,53.0,38.0,54.0,50.0,49.0,45.0,53.0,57.0,55.0,67.0,52.0,56.0
Kentucky,37.0,45.0,37.0,60.0,56.0,53.0,58.0,62.0,69.0,74.0,72.0,75.0,74.0
Louisiana,42.0,47.0,35.0,38.0,48.0,50.0,48.0,49.0,62.0,64.0,66.0,62.0,60.0
Maine,33.0,57.0,34.0,63.0,54.0,59.0,51.0,50.0,57.0,56.0,60.0,64.0,62.0
Maryland,35.0,40.0,37.0,42.0,45.0,43.0,41.0,48.0,55.0,52.0,53.0,52.0,54.0
Massachusetts,45.0,53.0,41.0,55.0,47.0,49.0,51.0,51.0,59.0,56.0,56.0,57.0,51.0
Michigan,34.0,51.0,41.0,59.0,51.0,52.0,50.0,55.0,68.0,64.0,64.0,65.0,68.0
Minnesota,37.0,55.0,33.0,43.0,47.0,40.0,42.0,51.0,57.0,57.0,54.0,54.0,52.0
Mississippi,7.0,50.0,28.0,70.0,48.0,48.0,54.0,51.0,63.0,61.0,66.0,66.0,64.0
Missouri,42.0,51.0,37.0,57.0,43.0,45.0,48.0,49.0,64.0,62.0,63.0,60.0,60.0
Montana,49.0,47.0,30.0,58.0,69.0,47.0,31.0,41.0,49.0,50.0,56.0,54.0,54.0
Nebraska,31.0,66.0,38.0,59.0,48.0,50.0,46.0,54.0,53.0,52.0,61.0,61.0,57.0
Nevada,47.0,48.0,42.0,50.0,55.0,51.0,51.0,53.0,62.0,59.0,62.0,66.0,59.0
New Hampshire,55.0,52.0,39.0,52.0,42.0,56.0,57.0,47.0,55.0,59.0,55.0,56.0,60.0
New Jersey,47.0,48.0,37.0,51.0,50.0,44.0,48.0,50.0,56.0,54.0,60.0,52.0,54.0
New Mexico,43.0,59.0,28.0,48.0,51.0,48.0,41.0,48.0,53.0,54.0,53.0,60.0,55.0
New York,34.0,48.0,37.0,49.0,48.0,44.0,47.0,55.0,52.0,56.0,53.0,55.0,52.0
North Carolina,46.0,49.0,37.0,54.0,56.0,50.0,50.0,53.0,62.0,64.0,65.0,65.0,67.0
North Dakota,29.0,59.0,34.0,35.0,48.0,37.0,40.0,45.0,56.0,63.0,61.0,65.0,63.0
Ohio,40.0,50.0,39.0,53.0,53.0,51.0,50.0,55.0,65.0,65.0,66.0,63.0,65.0
Oklahoma,38.0,52.0,41.0,50.0,48.0,44.0,43.0,50.0,57.0,65.0,66.0,63.0,63.0
Oregon,38.0,43.0,42.0,53.0,48.0,47.0,44.0,46.0,54.0,37.0,37.0,45.0,53.0
Pennsylvania,41.0,54.0,46.0,56.0,58.0,51.0,51.0,56.0,63.0,62.0,64.0,63.0,65.0
Rhode Island,46.0,68.0,44.0,53.0,54.0,52.0,58.0,53.0,60.0,56.0,61.0,59.0,55.0
South Carolina,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
South Dakota,64.0,72.0,25.0,64.0,52.0,48.0,63.0,50.0,47.0,53.0,56.0,57.0,60.0
Tennessee,36.0,41.0,39.0,53.0,45.0,51.0,44.0,48.0,58.0,66.0,65.0,68.0,68.0
Texas,35.0,52.0,38.0,51.0,52.0,49.0,46.0,56.0,64.0,57.0,59.0,60.0,59.0
Utah,31.0,47.0,38.0,45.0,50.0,40.0,43.0,46.0,54.0,57.0,59.0,57.0,57.0
Vermont,45.0,84.0,41.0,62.0,44.0,49.0,65.0,49.0,51.0,61.0,54.0,58.0,60.0
Virginia,41.0,47.0,36.0,50.0,40.0,31.0,32.0,54.0,55.0,58.0,50.0,42.0,56.0
Washington,39.0,56.0,38.0,58.0,50.0,50.0,51.0,55.0,60.0,61.0,59.0,59.0,57.0
West Virginia,68.0,60.0,31.0,51.0,46.0,53.0,52.0,68.0,69.0,72.0,80.0,80.0,78.0
Wisconsin,37.0,58.0,43.0,57.0,54.0,49.0,44.0,46.0,58.0,57.0,58.0,59.0,59.0
Wyoming,41.0,26.0,16.0,54.0,32.0,46.0,43.0,54.0,57.0,57.0,59.0,51.0,60.0
