,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,11.0,23.0,54.0,75.0,70.0,78.0,55.0,70.0,62.0,64.0,78.0,67.0,80.0
Alaska,33.0,69.0,42.0,61.0,13.0,40.0,47.0,58.0,58.0,39.0,60.0,50.0,63.0
Arizona,45.0,29.0,33.0,51.0,56.0,62.0,38.0,73.0,60.0,57.0,64.0,55.0,79.0
California,19.0,28.0,33.0,44.0,53.0,37.0,23.0,57.0,47.0,46.0,56.0,48.0,60.0
Colorado,15.0,40.0,48.0,51.0,74.0,47.0,46.0,80.0,58.0,50.0,64.0,57.0,71.0
Connecticut,36.0,33.0,24.0,42.0,69.0,65.0,55.0,60.0,51.0,59.0,65.0,59.0,69.0
Delaware,42.0,84.0,50.0,44.0,,50.0,24.0,93.0,59.0,62.0,65.0,48.0,81.0
District of Columbia,25.0,29.0,36.0,36.0,49.0,48.0,38.0,63.0,38.0,38.0,57.0,43.0,61.0
Florida,22.0,21.0,45.0,51.0,51.0,56.0,43.0,60.0,45.0,43.0,56.0,48.0,62.0
Georgia,37.0,27.0,43.0,57.0,50.0,58.0,38.0,63.0,45.0,47.0,55.0,50.0,64.0
Hawaii,20.0,26.0,22.0,63.0,57.0,39.0,34.0,77.0,50.0,59.0,47.0,50.0,63.0
Idaho,53.0,56.0,31.0,53.0,65.0,68.0,43.0,100.0,59.0,56.0,100.0,74.0,70.0
Illinois,27.0,21.0,60.0,57.0,61.0,50.0,51.0,72.0,50.0,54.0,59.0,53.0,71.0
Indiana,8.0,29.0,39.0,93.0,80.0,85.0,66.0,93.0,80.0,78.0,98.0,79.0,98.0
Iowa,36.0,26.0,64.0,48.0,96.0,85.0,48.0,88.0,67.0,70.0,77.0,63.0,92.0
Kansas,47.0,45.0,34.0,80.0,70.0,33.0,35.0,71.0,61.0,47.0,47.0,55.0,80.0
Kentucky,75.0,32.0,82.0,55.0,77.0,45.0,42.0,67.0,62.0,68.0,71.0,67.0,79.0
Louisiana,23.0,32.0,55.0,36.0,81.0,43.0,52.0,66.0,43.0,46.0,61.0,52.0,60.0
Maryland,24.0,33.0,31.0,44.0,72.0,58.0,44.0,75.0,54.0,59.0,75.0,54.0,73.0
Massachusetts,32.0,36.0,52.0,45.0,88.0,50.0,43.0,68.0,56.0,55.0,64.0,63.0,71.0
Michigan,17.0,29.0,43.0,48.0,80.0,57.0,54.0,76.0,45.0,51.0,63.0,54.0,79.0
Minnesota,37.0,41.0,54.0,73.0,79.0,74.0,51.0,77.0,64.0,66.0,70.0,63.0,82.0
Missouri,38.0,34.0,30.0,65.0,65.0,72.0,65.0,81.0,56.0,73.0,75.0,73.0,84.0
Nebraska,48.0,67.0,59.0,29.0,70.0,74.0,44.0,82.0,75.0,57.0,65.0,72.0,73.0
Nevada,35.0,21.0,17.0,23.0,59.0,50.0,47.0,65.0,47.0,51.0,69.0,55.0,68.0
New Hampshire,37.0,49.0,22.0,54.0,93.0,40.0,43.0,94.0,64.0,66.0,81.0,51.0,60.0
New Jersey,24.0,23.0,39.0,35.0,50.0,52.0,38.0,62.0,49.0,48.0,59.0,48.0,67.0
New York,21.0,21.0,40.0,51.0,64.0,47.0,37.0,53.0,46.0,45.0,48.0,48.0,62.0
North Carolina,35.0,47.0,60.0,60.0,81.0,62.0,50.0,78.0,54.0,56.0,72.0,58.0,67.0
Ohio,26.0,29.0,51.0,60.0,58.0,64.0,46.0,73.0,55.0,59.0,78.0,59.0,75.0
Oklahoma,13.0,17.0,22.0,61.0,54.0,80.0,30.0,69.0,55.0,63.0,62.0,51.0,79.0
Oregon,33.0,38.0,50.0,58.0,66.0,44.0,39.0,52.0,56.0,39.0,41.0,38.0,67.0
Pennsylvania,38.0,45.0,54.0,52.0,73.0,65.0,50.0,74.0,57.0,57.0,64.0,58.0,71.0
Rhode Island,40.0,,35.0,63.0,77.0,26.0,32.0,63.0,54.0,43.0,62.0,54.0,77.0
South Carolina,35.0,31.0,54.0,45.0,92.0,77.0,46.0,70.0,52.0,70.0,67.0,53.0,69.0
South Dakota,100.0,66.0,27.0,18.0,71.0,72.0,78.0,67.0,96.0,100.0,76.0,100.0,94.0
Tennessee,41.0,41.0,52.0,79.0,69.0,68.0,49.0,75.0,56.0,48.0,74.0,56.0,70.0
Texas,16.0,34.0,42.0,45.0,69.0,49.0,36.0,60.0,46.0,42.0,54.0,52.0,60.0
Utah,36.0,46.0,86.0,84.0,60.0,72.0,55.0,74.0,59.0,59.0,82.0,72.0,88.0
Vermont,32.0,100.0,39.0,63.0,89.0,58.0,46.0,76.0,78.0,77.0,69.0,71.0,76.0
Virginia,27.0,27.0,29.0,41.0,45.0,28.0,18.0,64.0,54.0,50.0,46.0,32.0,66.0
Washington,23.0,32.0,34.0,52.0,60.0,50.0,40.0,69.0,56.0,58.0,68.0,56.0,71.0
Wisconsin,21.0,24.0,67.0,53.0,68.0,67.0,50.0,88.0,58.0,70.0,70.0,65.0,74.0
Arkansas,,47.0,38.0,52.0,67.0,62.0,26.0,78.0,75.0,47.0,72.0,46.0,69.0
Maine,,42.0,62.0,94.0,55.0,50.0,47.0,83.0,62.0,75.0,76.0,79.0,100.0
Mississippi,,59.0,30.0,74.0,78.0,47.0,28.0,95.0,63.0,46.0,64.0,59.0,69.0
New Mexico,,30.0,52.0,77.0,100.0,65.0,32.0,54.0,60.0,63.0,80.0,57.0,80.0
North Dakota,,75.0,100.0,68.0,54.0,100.0,61.0,88.0,84.0,75.0,87.0,74.0,96.0
Montana,,,24.0,100.0,42.0,42.0,85.0,70.0,100.0,65.0,75.0,71.0,92.0
West Virginia,,,73.0,42.0,96.0,54.0,40.0,81.0,95.0,74.0,98.0,60.0,88.0
Wyoming,,,38.0,55.0,65.0,76.0,100.0,44.0,71.0,94.0,83.0,79.0,86.0
